filename,template,has_table,Ref,Date,Objet,Pj,Content,Source,Destination,Copie,Table,source_dept,target_dept
filled/doc_001_tmpl1_SRI-2024-001.pdf,template-1.pdf,No,SRI/2024/001,22/05/2024,"Validation budgétaire des partenariats institutionnels du second
semestre.",02 pièces jointes,"Dans le cadre de la planification financière pour le second semestre,
nous vous transmettons les conventions de partenariat actualisées
nécessitant un arbitrage budgétaire. Ces documents détaillent les
engagements financiers prévus avec nos partenaires institutionnels
stratégiques. Nous vous prions de bien vouloir procéder à l'analyse de
ces éléments afin de valider la faisabilité comptable de ces projets.
Nous restons à votre disposition pour toute précision nécessaire
concernant le chiffrage opérationnel.",Service Relations Institutionnelles,Département Finances & Comptabilité,"Direction Générale, Service Juridique",,Service Relations Institutionnelles,Département Finances & Comptabilité
filled/doc_002_tmpl2_SAD-2024-002.pdf,template-2.pdf,No,SAD/2024/002,14/05/2024,"Demande de transfert d'archives semi-actives vers le centre de
stockage logistique.",01 pièce jointe,"Dans le cadre de l'optimisation de nos espaces de conservation, nous
sollicitons le transfert de 40 cartons d'archives semi-actives vers
votre entrepôt sécurisé. Ces documents concernent les bordereaux
d'expédition de l'exercice 2022 et doivent impérativement être
conservés selon nos normes de sécurité en vigueur. Merci de nous
confirmer vos disponibilités pour l'enlèvement de ces volumes d'ici la
fin de la semaine prochaine. Nous restons à votre disposition pour
coordonner les détails logistiques de cette opération.",Service Archives & Documentation,Service Colis & Logistique,Direction des Opérations,,Service Archives & Documentation,Service Colis & Logistique
filled/doc_003_tmpl3_DIS-2023-0003.pdf,template-3.pdf,No,DIS/2023/0003,14/11/2023,"Demande d'avis juridique concernant la mise en conformité des logs
d'accès serveurs au regard du RGPD.",01 pièce jointe,"Dans le cadre de la refonte de notre infrastructure de gestion des
identités, nous avons identifié une divergence concernant la durée de
rétention des logs d'accès nominatifs. Nous sollicitons votre
expertise pour valider la conformité de notre nouvelle politique
d'archivage avec les exigences légales en vigueur. Cette analyse est
indispensable avant le déploiement de la solution sur l'ensemble de
nos serveurs bancaires. Nous restons à votre disposition pour toute
information complémentaire ou pour organiser une réunion de travail.",Département Informatique & Systèmes,Service Juridique & Contentieux,"Direction de la Sécurité des Systèmes d'Information, Direction de la Conformité",,Département Informatique & Systèmes,Service Juridique & Contentieux
filled/doc_004_tmpl1_SRI-2023-0004.pdf,template-1.pdf,No,SRI/2023/0004,14/10/2023,"Mise à jour des protocoles de traitement des virements internationaux
pour les organismes publics.",01 pièce jointe,"Dans le cadre de l'évolution de nos accords avec les institutions
partenaires, nous vous prions de bien vouloir intégrer les nouvelles
directives relatives aux délais de traitement des virements
transfrontaliers. Ces ajustements visent à garantir une meilleure
conformité avec les récentes exigences réglementaires de lutte contre
le blanchiment des capitaux. Nous vous invitons à consulter la note
détaillée en annexe pour adapter vos processus opérationnels dès le
début du mois prochain. Votre retour sur la faisabilité technique de
ces mesures est attendu avant le 25 octobre.",Service Relations Institutionnelles,Service Virements & Moyens de Paiement,"Direction de la Conformité, Service Juridique",,Service Relations Institutionnelles,Service Virements & Moyens de Paiement
filled/doc_005_tmpl2_DIS-2023-0005.pdf,template-2.pdf,No,DIS/2023/0005,14/11/2023,"Déploiement du nouveau logiciel de gestion bancaire et planification
des sessions de formation utilisateur.",02 pièces jointes,"Dans le cadre de la mise en production de notre nouvel outil de
gestion bancaire prévue le mois prochain, nous avons finalisé la
configuration des environnements de test pour vos équipes. Nous vous
invitons à prendre connaissance du calendrier des formations
techniques afin d'assurer une montée en compétence efficace des agents
en agence. Nous restons à votre entière disposition pour coordonner
les sessions pratiques et ajuster les supports pédagogiques selon les
retours des utilisateurs.",Département Informatique & Systèmes,Département Formation & Développement,"Direction des Opérations Bancaires, Direction Générale",,Département Informatique & Systèmes,Département Formation & Développement
filled/doc_006_tmpl3_SGRC-2023-0006.pdf,template-3.pdf,No,SGRC/2023/0006,14/05/2024,"Demande de clarification sur les nouvelles conditions d'ouverture des
livrets d'épargne réglementés.",01 pièce jointe,"Suite aux récentes mises à jour de notre politique commerciale, nous
avons constaté des difficultés de compréhension de la part de nos
guichetiers concernant les pièces justificatives requises. Afin
d'harmoniser nos pratiques en agence, nous vous saurions gré de bien
vouloir confirmer les modalités spécifiques d'entrée en vigueur pour
les nouveaux clients mineurs. Cette clarification nous permettra de
fluidifier le parcours souscription et d'éviter tout rejet de dossier
lors de la vérification par vos services. Nous restons à votre
disposition pour organiser une brève session d'information si
nécessaire.",Service Guichet & Relations Clientèle,Service Épargne & Produits Bancaires,"Direction de la Conformité, Direction du Réseau",,Service Guichet & Relations Clientèle,Service Épargne & Produits Bancaires
filled/doc_007_tmpl1_SG-RC-2023-007.pdf,template-1.pdf,Yes,SG-RC/2023/007,14/09/2023,"Demande de régularisation et d'investigation sur des virements SWIFT
en attente.",01 pièce jointe,"Nous vous sollicitons afin d'examiner le blocage persistant des
virements internationaux listés dans le document ci-joint. Ces
opérations, initiées par notre clientèle premium, sont en suspens dans
votre système malgré la complétude des justificatifs fournis. Nous
vous prions de bien vouloir procéder à une analyse prioritaire afin de
débloquer ces fonds dans les meilleurs délais. Votre retour rapide
nous permettra d'apporter une réponse circonstanciée à nos clients.",Service Guichet & Relations Clientèle,Service Virements & Moyens de Paiement,Direction de la Conformité,,Service Guichet & Relations Clientèle,Service Virements & Moyens de Paiement
filled/doc_008_tmpl2_SJC-2024-0008.pdf,template-2.pdf,No,SJC/2024/0008,14/05/2024,"Avis juridique concernant les droits de propriété intellectuelle sur
la nouvelle série commémorative.",01 pièce jointe,"Suite à votre demande, nous avons examiné les conditions
d'exploitation des visuels fournis pour la future série de timbres
commémoratifs. Il apparaît que les droits de reproduction pour
certains éléments graphiques ne sont pas intégralement cédés pour une
diffusion internationale, nécessitant une renégociation avec les
ayants droit. Nous vous recommandons de suspendre l'impression des
épreuves définitives jusqu'à la signature des avenants contractuels
correspondants. Notre service se tient à votre entière disposition
pour assister vos équipes dans la régularisation de ces documents.",Service Juridique & Contentieux,Département Philatélie & Produits Postaux,"Direction Générale, Service de la Communication",,Service Juridique & Contentieux,Département Philatélie & Produits Postaux
filled/doc_009_tmpl3_DPPP-2023-0009.pdf,template-3.pdf,Yes,DPPP/2023/0009,14/05/2024,"Lancement de la nouvelle collection philatélique 'Patrimoine National'
et modalités de mise en rayon.",01 pièce jointe,"Dans le cadre de la commémoration du centenaire, nous lançons une
série limitée de timbres qui sera disponible dans l'ensemble de vos
agences dès le 1er juin prochain. Nous vous prions de bien vouloir
veiller à ce que le matériel promotionnel soit installé en vitrine
selon les directives fournies en annexe. Il est impératif d'assurer
une visibilité optimale dès l'ouverture des points de vente pour
maximiser les ventes des premiers jours. Nous restons à votre
disposition pour tout support logistique complémentaire nécessaire au
bon déploiement de cette opération.",Département Philatélie & Produits Postaux,Département Réseau & Agences,"Direction de la Communication, Direction Logistique",,Département Philatélie & Produits Postaux,Département Réseau & Agences
filled/doc_010_tmpl1_RH-2023-10.pdf,template-1.pdf,Yes,RH/2023/10,14/10/2023,Transfert des dossiers du personnel pour archivage définitif.,01 pièce jointe,"Dans le cadre de la procédure annuelle de gestion documentaire, nous
vous transmettons les dossiers du personnel ayant quitté l'institution
au cours de l'exercice 2022. Nous vous prions de bien vouloir procéder
à leur enregistrement dans vos registres conformément à la durée
légale de conservation en vigueur. Veuillez trouver ci-joint
l'inventaire détaillé des boîtes d'archives transmises ce jour à vos
services. Nous restons à votre disposition pour toute précision
nécessaire concernant le classement de ces documents confidentiels.",Service Ressources Humaines,Service Archives & Documentation,Direction des Affaires Juridiques,,Service Ressources Humaines,Service Archives & Documentation
